T96060003248
	blast	P13611	8.17165e-13	3096	3290	False
	blast	E7EX88	1.68197e-09	2302	2441	False
	blast	Q9BWP8	6.5559e-08	154	271	False
	blast	Q02763	6.84281e-08	226	317	False
	blast	Q9P273	6.96444e-08	505	680	False
	blast	P05451	3.15708e-07	47	164	False
	blast	P22105	6.75527e-07	590	651	False
	blast	P46531	7.39582e-07	953	1062	False
	blast	Q96KG7	1.59056e-06	192	354	False
	blast	Q8IWL1	1.54675e-05	139	248	False
	hhblits	P13611	1.4e-17	3098	3292	False
	hhblits	E7EX88	1.2e-16	2260	2443	False
	hhblits	Q8IWL1	3.2e-16	131	248	False
	hhblits	Q8IWL2	6.5e-16	132	248	False
	hhblits	P35247	2.1e-15	257	375	False
	hhblits	P05451	2.3e-15	42	165	False
	hhblits	Q9BWP8	1.2e-14	147	269	False
	hhblits	Q9BXN2	3.3e-14	127	244	False
	hhblits	P07204	5.2e-13	31	170	False
	hhblits	E7ENV9	9.8e-13	2289	2407	False
T96060003249
	blast	P13611	9.69133e-13	3096	3290	False
	blast	E7EX88	6.3354e-09	2302	2441	False
	blast	Q02763	6.39829e-08	226	317	False
	blast	Q9P273	2.21108e-07	506	680	False
	blast	Q9BWP8	3.55377e-07	154	271	False
	blast	Q96KG7	4.21245e-07	192	354	False
	blast	P22105	5.89218e-07	590	651	False
	blast	P46531	6.28436e-07	953	1062	False
	blast	P05451	2.49617e-05	47	164	False
	blast	E7ENV9	8.47721e-05	2288	2403	False
	hhblits	P13611	5.4e-17	3098	3292	False
	hhblits	E7EX88	5.8e-16	2260	2443	False
	hhblits	Q8IWL1	2.7e-15	131	248	False
	hhblits	Q8IWL2	4.5e-15	132	248	False
	hhblits	P35247	1.4e-14	257	375	False
	hhblits	P05451	2.5e-14	42	165	False
	hhblits	Q9BWP8	5.6e-14	147	269	False
	hhblits	Q9BXN2	1.1e-13	127	244	False
	hhblits	P07204	1.6e-12	31	170	False
	hhblits	E7ENV9	6.1e-12	2289	2407	False
T96060003250
	blast	P13611	2.43805e-12	3096	3290	False
	blast	E7EX88	5.16868e-09	2302	2441	False
	blast	Q02763	6.84281e-08	226	317	False
	blast	Q9P273	2.133e-07	506	680	False
	blast	Q9BWP8	2.63358e-07	154	271	False
	blast	P22105	6.52705e-07	590	651	False
	blast	P46531	7.39582e-07	953	1062	False
	blast	P05451	1.20891e-06	47	164	False
	blast	Q96KG7	1.59056e-06	192	354	False
	blast	Q8IWL1	5.72621e-05	139	248	False
